JD,Magnitude,Uncertainty
2457815.452,3.6,
2457819.001,4,
2457819.442,3.8,
2457821.008,4,
2457829.001,4.3,
2457832.012,3.9,
2457833.495,3.6,
2457836.03,3.8,
2457840.5,3.8,
2457842.022,3.9,
2457844.415,3.5,
2457845.502,3.5,
2457850.423,3.7,
2457858.436,3.8,
2457863.979,4,
2457867.958,4.2,
2457868.41,3.9,
2457872.426,3.6,
2457873.422,3.5,
2457880.405,3.8,
2457898.408,3.9,
2457955.862,3.8,
2457979.871,3.8,
2457990.369,3.7,
2457991.356,3.6,
2457993.358,3.7,
2458000.373,3.7,
2458001.344,3.7,
2458010.354,3.8,
2458014.32,3.9,
2458038.34,3.9,
2458039.299,3.8,
2458045.135,4,
2458046.265,4.2,
2458047.294,4,
2458051.25,3.6,
2458056.259,4.2,
2458058.267,3.8,
2458061.267,3.6,
2458067.287,4,
2458068.256,3.9,
2458069.302,3.7,
2458069.613,3.8,
2458070.252,3.6,
2458071.278,3.5,
2458071.514,3.8,
2458072.092,3.6,
2458073.243,3.8,
2458076.073,4,
2458079.24,3.7,
2458082.26,3.6,
2458082.508,4,
2458083.242,3.8,
2458086.25,4,
2458088.259,3.8,
2458089.29,3.7,
2458093.066,3.9,
2458094.246,4,
2458098.263,3.8,
2458099.251,3.8,
2458100.043,3.7,
2458101.247,3.7,
2458102.268,3.8,
2458103.283,3.9,
2458104.482,4,
2458107.079,3.9,
2458108.24,3.8,
2458110.642,3.5,
2458113.94,3.9,
2458121.09,3.6,
2458122.043,3.7,
2458122.514,3.6,
2458126.058,3.8,
2458127.07,3.8,
2458130.029,3.5,
2458131.038,3.7,
2458132.049,3.7,
2458135.042,3.8,
2458137.042,3.8,
2458138.029,3.7,
2458140.032,3.5,
2458141.026,3.5,
2458143.029,3.7,
2458144.036,3.8,
2458146.036,4,
2458148.05,3.6,
2458149.029,3.5,
2458150.032,3.5,
2458152.485,3.8,
2458154.043,3.9,
2458155.054,4,
2458155.549,3.8,
2458159.031,3.5,
2458161.022,3.7,
2458162.033,3.8,
2458163.022,3.9,
2458164.049,3.9,
2458165.015,4,
2458169.031,3.5,
2458170.008,3.4,
2458171.01,3.5,
2458183.521,3.7,
2458184.008,4.1,
2458185.019,4.1,
2458188.547,3.5,
2458189.015,3.5,
2458189.455,3.6,
2458195.995,4,
2458215.413,3.7,
2458215.979,3.8,
2458216.444,3.6,
2458221.419,3.8,
2458224.994,3.9,
2458229.408,3.6,
2458230.413,3.6,
2458231.424,3.8,
2458235.406,3.7,
2458237.401,3.6,
2458242.404,3.7,
2458247.83,3.5,
2458249.417,3.4,
2458250.8,3.93,
2458251.408,3.6,
2458258.419,3.6,
2458260.399,3.7,
2458355.379,3.7,
2458370.852,3.8,
2458377.316,3.7,
2458378.336,3.7,
2458381.351,4.1,
2458383.347,3.8,
2458407.294,3.6,
2458408.292,3.8,
2458433.276,3.7,
2458434.258,3.8,
2458437.281,3.7,
2458442.274,3.9,
2458443.254,3.7,
2458443.606,3.5,
2458449.079,4.2,
2458450.251,4.3,
2458451.055,4.2,
2458454.268,3.6,
2458455.092,3.5,
2458456.074,3.7,
2458460.25,4.1,
2458461.256,4,
2458462.291,3.9,
2458465.247,3.7,
2458466.065,3.7,
2458468.256,4,
2458469.278,4.1,
2458470.086,4.1,
2458471.263,3.9,
2458472.292,3.8,
2458473.251,3.7,
2458477.96,4.4,
2458478.942,4.3,
2458481.007,3.9,
2458481.056,3.9,
2458482.238,3.8,
2458483.044,3.7,
2458484.738,3.4,
2458486.055,3.6,
2458487.251,3.8,
2458488.252,4,
2458490.247,4.1,
2458492.256,3.8,
2458493.073,3.7,
2458495.243,3.5,
2458508.042,4,
2458509.028,4.1,
2458509.511,3.8,
2458512.035,3.7,
2458512.525,3.5,
2458514.498,3.5,
2458518.035,4,
2458520.617,3.7,
2458521.492,3.6,
2458522.036,3.7,
2458522.549,3.5,
2458529.049,4,
2458533.462,3.4,
2458536.543,3.6,
2458537.485,3.9,
2458538.476,3.8,
2458544.457,3.6,
2458547.449,3.7,
2458554.87,3.9,
2458559.018,3.9,
2458566.448,3.8,
2458567.451,3.8,
2458571.981,3.9,
2458572.85,3.3,
2458573.428,3.5,
2458574.42,3.5,
2458575.423,3.6,
2458576.85,4.2,
2458578.985,3.9,
2458579.83,3.9,
2458582.54,3.5,
2458585.415,3.6,
2458589.428,3.7,
2458590.412,3.6,
2458592.44,3.4,
2458593.421,3.5,
2458603.408,3.5,
2458604.403,3.7,
2458607.404,4,
2458609.398,3.8,
2458620.401,3.5,
2458626.84,3.8,
2458628.402,3.7,
2458629.415,3.8,
2458630.401,3.6,
2458632.8,3.42,
2458642.392,3.4,
2458754.835,3.8,
2458776.806,3.6,
2458811.565,3.7,
2458816.523,3.6,
2458828.492,3.5,
2458843.505,3.9,
2458844.613,3.8,
2458847.549,3.6,
2458848.56,3.6,
2458851.519,3.7,
2458854.257,4.2,
2458854.594,3.9,
2458855.265,4.1,
2458855.506,3.7,
2458856.268,3.9,
2458869.953,3.7,
2458873.506,3.7,
2458874.481,3.8,
2458876.576,3.6,
2458885.501,3.6,
2458891.479,3.8,
2458893.538,3.9,
2458902.469,3.8,
2458906.551,3.4,
2458907.466,3.4,
2458909.523,3.6,
2458910.454,3.6,
2458914.46,3.9,
2458918.527,3.4,
2458921.449,3.8,
2458930.499,3.8,
2458931.441,3.9,
2458934.436,3.6,
2458936.448,3.5,
2458938.466,3.6,
2458939.47,3.7,
2458942.46,3.8,
2458943.487,3.8,
2458944.43,3.7,
2458945.417,3.6,
2458950.463,3.7,
2458952.425,3.9,
2458954.422,3.7,
2458955.425,3.5,
2458956.44,3.4,
2458957.438,3.5,
2458959.454,3.6,
2458960.434,3.8,
2458961.453,3.8,
2458963.45,3.8,
2458965.431,3.7,
2458966.415,3.4,
2458972.432,4,
2458973.442,3.9,
2458974.399,3.6,
2458976.419,3.4,
2458978.429,3.6,
2458979.43,3.7,
2458981.419,3.8,
2458984.434,3.8,
2458985.429,3.7,
2458986.431,3.7,
2458989.434,3.9,
2458996.392,3.4,
2459047.863,3.8,
2459088.385,3.8,
2459092.332,3.8,
2459104.322,3.6,
2459105.333,3.7,
2459110.329,4.1,
2459115.279,3.7,
2459132.306,3.7,
2459133.266,3.7,
2459134.311,3.8,
2459135.272,3.6,
2459137.253,3.7,
2459139.278,3.8,
2459142.264,3.8,
2459144.287,3.5,
2459145.247,3.6,
2459146.268,3.8,
2459151.801,3.6,
2459158.251,4.2,
2459159.663,3.8,
2459160.263,4,
2459165.294,3.7,
2459170.766,3.6,
2459171.751,3.5,
2459172.254,3.6,
2459173.246,3.6,
2459174.265,3.7,
2459175.281,3.7,
2459176.285,3.8,
2459177.244,4,
2459178.263,4.1,
2459184.264,3.6,
2459189.244,4,
2459190.261,3.9,
2459191.256,3.7,
2459195.242,3.7,
2459198.258,4.1,
2459199.247,4,
2459201.241,3.7,
2459204.241,3.6,
2459206.244,4,
2459210.24,4,
2459211.279,3.7,
2459218.24,4.1,
2459218.506,3.8,
2459219.235,3.9,
2459219.49,3.8,
2459221.045,3.7,
2459225.228,3.9,
2459227.04,4.1,
2459230.471,3.6,
2459250.473,3.6,
2459254.555,3.7,
2459262.458,3.7,
2459263.485,3.6,
2459264.439,3.8,
2459264.556,3.6,
2459268.458,3.7,
2459281.466,3.5,
2459284.552,3.7,
2459285.552,3.9,
2459294.431,3.6,
2459305.449,3.9,
2459306.413,4,
2459308.467,3.6,
2459310.434,3.4,
2459313.448,3.6,
2459319.427,3.7,
2459320.444,3.5,
2459335.428,3.8,
2459337.86,3.47,
2459342.431,3.4,
2459343.403,3.8,
2459345.41,4,
2459347.426,3.8,
2459348.422,3.6,
2459414.865,4.1,
2459415.858,4,
2459423.869,4,
2459428.835,3.7,
2459429.873,3.6,
